id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15634591.0,Pagnotto,775.0,France,Male,29.0,4.0,0.0,2.0,1.0,0.0,61315.37,0.0
1,15584364.0,Aksenov,599.0,Spain,Female,38.0,7.0,0.0,2.0,1.0,0.0,180622.01,0.0
2,15662854.0,Y?an,602.0,France,Male,45.0,5.0,0.0,2.0,1.0,0.0,173989.66,0.0
3,15726153.0,Lai,775.0,France,Male,42.0,7.0,89158.84,1.0,1.0,1.0,180698.32,0.0
4,15743193.0,Chukwuebuka,663.0,Germany,Male,39.0,2.0,129663.49,1.0,0.0,1.0,172363.41,0.0
5,15570134.0,Hsueh,709.0,Germany,Male,38.0,9.0,133598.4,2.0,1.0,1.0,71244.59,0.0
6,15690526.0,Milani,602.0,Spain,Male,54.0,0.0,0.0,1.0,1.0,1.0,125939.22,1.0
7,15704053.0,Chiazagomekpere,682.0,France,Female,38.0,1.0,0.0,2.0,0.0,0.0,180197.74,0.0
8,15806021.0,Hs?,850.0,Spain,Male,34.0,10.0,0.0,2.0,1.0,0.0,172049.84,0.0
9,15767064.0,Chinweuba,790.0,Germany,Female,33.0,2.0,95984.69,1.0,1.0,0.0,176678.72,1.0
10,15793813.0,Chiu,692.0,France,Female,47.0,3.0,0.0,2.0,0.0,1.0,141872.05,0.0
11,15578073.0,Nwokezuike,547.0,Germany,Female,40.0,6.0,113882.31,1.0,0.0,0.0,82970.69,1.0
12,15698902.0,Chiedozie,572.0,France,Male,29.0,7.0,0.0,2.0,1.0,1.0,141180.66,0.0
13,15643487.0,K'ung,548.0,France,Female,39.0,5.0,0.0,1.0,0.0,0.0,176868.89,0.0
14,15772618.0,Ch'eng,539.0,France,Female,33.0,5.0,0.0,2.0,1.0,0.0,82462.25,0.0
15,15811261.0,Yobanna,721.0,Germany,Female,28.0,2.0,112712.17,2.0,1.0,0.0,187911.52,0.0
16,15593976.0,Nkemakonam,633.0,France,Male,30.0,8.0,0.0,2.0,1.0,1.0,99061.75,0.0
17,15731519.0,Tsou,607.0,France,Female,30.0,3.0,0.0,1.0,1.0,1.0,61240.83,0.0
18,15596713.0,Chukwudi,740.0,Germany,Male,53.0,6.0,144880.34,1.0,1.0,0.0,56911.41,1.0
19,15671610.0,Cremonesi,769.0,France,Female,36.0,8.0,0.0,2.0,1.0,0.0,151401.33,0.0
20,15783882.0,T'ao,717.0,France,Male,36.0,7.0,0.0,1.0,1.0,0.0,162858.29,1.0
21,15703037.0,Yobanna,684.0,Spain,Female,42.0,8.0,0.0,2.0,1.0,0.0,167773.55,0.0
22,15752294.0,T'ien,579.0,Spain,Male,29.0,6.0,0.0,2.0,1.0,1.0,79623.28,0.0
23,15797733.0,Hsia,730.0,Germany,Male,30.0,4.0,110864.38,2.0,1.0,1.0,92621.9,0.0
24,15649414.0,Lucchese,707.0,Germany,Male,50.0,3.0,145988.26,1.0,1.0,1.0,188484.52,1.0
25,15648047.0,Uwaezuoke,694.0,Spain,Male,40.0,10.0,0.0,2.0,1.0,1.0,61820.41,0.0
26,15761604.0,Ritchie,683.0,Spain,Male,39.0,1.0,0.0,2.0,1.0,1.0,100862.36,0.0
27,15674573.0,Fanucci,583.0,Germany,Male,30.0,9.0,132759.8,1.0,1.0,0.0,166516.84,1.0
28,15641733.0,Teng,605.0,France,Male,47.0,6.0,0.0,2.0,1.0,0.0,97908.12,0.0
29,15589475.0,Kepley,667.0,Spain,Female,46.0,7.0,0.0,1.0,1.0,0.0,161388.22,1.0
30,15778861.0,Yobachukwu,718.0,Germany,Female,49.0,7.0,101861.36,1.0,1.0,0.0,173792.42,1.0
31,15589975.0,Obijiaku,593.0,Germany,Female,36.0,2.0,128226.37,1.0,1.0,0.0,103379.31,1.0
32,15642885.0,Ch'ien,676.0,France,Female,38.0,1.0,111812.89,1.0,1.0,0.0,181177.9,0.0
33,15806467.0,Ch'en,619.0,France,Male,56.0,9.0,110371.84,1.0,1.0,0.0,163504.33,1.0
